Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,Developer
Mafia III,PC,2016.0,Action,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,63.0,29.0,3.2,Hangar 13
The Rise of the Argonauts,PS3,2008.0,Role-Playing,Codemasters,0.05,0.11,0.0,0.03,0.19,,,,
Barbie Fashion Show: An Eye for Style,DS,2008.0,Misc,Activision,0.18,0.0,0.0,0.01,0.19,,,,
IHRA Professional Drag Racing 2005,PS2,2004.0,Racing,Bethesda Softworks,0.09,0.07,0.0,0.02,0.19,,,,Bethesda Softworks
Mace Griffin: Bounty Hunter,PS2,2003.0,Shooter,Electronic Arts,0.09,0.07,0.0,0.02,0.19,62.0,19.0,8.3,Warthog
101-in-1 Explosive Megamix,DS,2008.0,Puzzle,Nordcurrent,0.05,0.12,0.0,0.02,0.19,46.0,13.0,,Nordcurrent
Legacy of Kain: Defiance,XB,2003.0,Action,Eidos Interactive,0.14,0.04,0.0,0.01,0.19,74.0,30.0,7.9,Crystal Dynamics
Final Fantasy XI,X360,2006.0,Role-Playing,Square Enix,0.17,0.01,0.0,0.01,0.19,66.0,25.0,6.5,Square Enix
Scene It? Twilight,DS,2010.0,Misc,Konami Digital Entertainment,0.11,0.06,0.0,0.02,0.19,,,,Konami
Trivial Pursuit unhinged,PS2,2004.0,Misc,Atari,0.09,0.07,0.0,0.02,0.19,51.0,11.0,,Artech Studios
Tales of the World: Narikiri Dungeon 2,GBA,2002.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,
Peter Jackson's King Kong: The Official Game of the Movie,PSP,2005.0,Action,Ubisoft,0.16,0.01,0.0,0.02,0.19,56.0,10.0,6.4,Phoenix Games Studio
Fighter Within,XOne,2013.0,Fighting,Ubisoft,0.11,0.07,0.0,0.02,0.19,23.0,39.0,3.0,Ubisoft
Aliens versus Predator: Extinction,PS2,2003.0,Strategy,Electronic Arts,0.09,0.07,0.0,0.02,0.19,66.0,17.0,8.4,Zono Inc.
Shrek: Forever After,PS3,2010.0,Platform,Activision,0.16,0.02,0.0,0.02,0.19,57.0,11.0,4.5,Xpec
Silent Scope 2: Dark Silhouette,PS2,2001.0,Shooter,Konami Digital Entertainment,0.09,0.07,0.0,0.02,0.19,64.0,17.0,,KCET
The Spiderwick Chronicles,Wii,2008.0,Action,Vivendi Games,0.17,0.0,0.0,0.01,0.19,62.0,13.0,,Stormfront Studios
Dave Mirra Freestyle BMX 2,GBA,2001.0,Sports,Acclaim Entertainment,0.14,0.05,0.0,0.0,0.19,85.0,7.0,,Full-Fat
X-Men Origins: Wolverine,PSP,2009.0,Action,Activision,0.13,0.03,0.0,0.03,0.19,60.0,6.0,7.5,Griptonite Games
Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,SNES,1996.0,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,,,,
Tokimeki Memorial Girl's Side 3rd Story,DS,2010.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,,,,
NHL Hitz Pro,PS2,2003.0,Sports,Midway Games,0.09,0.07,0.0,0.02,0.19,79.0,23.0,8.9,Next Level Games
Allied General,PS,1996.0,Strategy,SSI,0.11,0.07,0.0,0.01,0.19,,,,
Marvel Super Hero Squad: Comic Combat,PS3,2011.0,Action,THQ,0.11,0.05,0.0,0.03,0.19,,,,THQ
Kamen Rider: Battride War,PS3,2013.0,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,
Fire ProWrestling G,PS,1999.0,Fighting,Human Entertainment,0.0,0.0,0.18,0.01,0.19,,,,
Space Invaders Extreme 2,DS,2009.0,Shooter,Square Enix,0.17,0.01,0.0,0.01,0.19,82.0,38.0,7.1,Taito Corporation
Need for Speed: The Run,3DS,2011.0,Action,Electronic Arts,0.09,0.09,0.0,0.02,0.19,65.0,9.0,6.0,Firebrand Games
Supreme Commander 2,PC,2010.0,Strategy,Square Enix,0.0,0.15,0.0,0.04,0.19,77.0,54.0,6.2,Gas Powered Games
Avatar: The Last Airbender - Into the Inferno,Wii,2008.0,Adventure,THQ,0.17,0.01,0.0,0.01,0.19,,,,
Quantum Theory,PS3,2010.0,Shooter,Tecmo Koei,0.05,0.09,0.02,0.03,0.19,43.0,34.0,5.3,Tecmo
Dawn of Discovery,Wii,2009.0,Simulation,Ubisoft,0.12,0.06,0.0,0.02,0.19,81.0,24.0,8.5,Keen Games
Guitar Hero Live,WiiU,2015.0,Misc,Activision,0.12,0.05,0.0,0.02,0.19,84.0,4.0,6.1,"Activision, FreeStyleGames"
GunGriffon,SAT,1995.0,Simulation,Sega,0.0,0.0,0.19,0.0,0.19,,,,
SingStar Pop Vol.2,PS2,2008.0,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,,,,
SNK Arcade Classics Vol. 1,PS2,2008.0,Misc,Ignition Entertainment,0.09,0.07,0.0,0.02,0.19,69.0,16.0,,SNK Playmore
Darkstalkers 3,PS,1998.0,Fighting,Capcom,0.11,0.07,0.0,0.01,0.19,,,,
International Cricket 2010,PS3,2010.0,Sports,Codemasters,0.0,0.15,0.0,0.04,0.19,,,,
Frequency,PS2,2001.0,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,83.0,26.0,9.0,Harmonix Music Systems
Inazuma Eleven Strikers 2012 Xtreme,Wii,2011.0,Role-Playing,Level 5,0.0,0.0,0.19,0.0,0.19,,,,
The Polar Express,GBA,2004.0,Adventure,THQ,0.14,0.05,0.0,0.0,0.19,,,,Tantalus Interactive
Dynasty Warriors 8: Empires,PS4,2014.0,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19,63.0,30.0,7.5,Omega Force
2002 FIFA World Cup,XB,2002.0,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,79.0,17.0,9.0,Software Creations
SpongeBob SquigglePants 3D,3DS,2011.0,Misc,THQ,0.13,0.05,0.0,0.02,0.19,64.0,8.0,6.0,WayForward
Jampack: Summer 2003 (RP-T),PS2,2003.0,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,,,,
Frogger's Adventures 2: The Lost Wand,GBA,2002.0,Adventure,Konami Digital Entertainment,0.14,0.05,0.0,0.0,0.19,75.0,4.0,,Konami
Sudeki,XB,2004.0,Role-Playing,Microsoft Game Studios,0.14,0.04,0.0,0.01,0.19,72.0,75.0,8.4,Climax Group
Majin and the Forsaken Kingdom,X360,2010.0,Adventure,Namco Bandai Games,0.14,0.03,0.0,0.01,0.19,74.0,46.0,8.1,Game Republic
Silent Hill HD Collection,X360,2012.0,Action,Konami Digital Entertainment,0.11,0.06,0.01,0.02,0.19,69.0,17.0,5.6,Konami
Arc Rise Fantasia,Wii,2009.0,Role-Playing,Marvelous Interactive,0.12,0.0,0.06,0.01,0.19,64.0,26.0,7.8,"Image Epoch, Imageepoch"
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,2009.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.19,0.0,0.19,,,,
Hot Wheels: Track Attack,Wii,2010.0,Racing,THQ,0.14,0.03,0.0,0.01,0.19,,,,Firebrand Games
Quake,N64,1998.0,Shooter,GT Interactive,0.15,0.04,0.0,0.0,0.19,,,,
SpongeBob's Surf & Skate Roadtrip,X360,2011.0,Action,THQ,0.15,0.03,0.0,0.01,0.19,,,,
Sesame Street: Elmo's Number Journey,N64,1999.0,Misc,NewKidCo,0.15,0.04,0.0,0.0,0.19,,,,
Hexen,N64,1996.0,Shooter,GT Interactive,0.15,0.04,0.0,0.0,0.19,,,,
Mace: The Dark Age,N64,1997.0,Fighting,GT Interactive,0.15,0.04,0.0,0.0,0.19,,,,
Puyo Puyo Sun 64,N64,1997.0,Puzzle,Compile,0.0,0.0,0.16,0.03,0.19,,,,
AeroFighters Assault,N64,1997.0,Action,Video System,0.15,0.04,0.0,0.0,0.19,,,,
Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996.0,Sports,Imagineer,0.0,0.0,0.19,0.0,0.19,,,,
South Park: The Stick of Truth,PC,2014.0,Role-Playing,Ubisoft,0.07,0.1,0.0,0.01,0.19,85.0,48.0,8.6,Obsidian Entertainment
Tottadoo! Yoiko no Mujintou Seikatsu,DS,2008.0,Adventure,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,
Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004.0,Action,Konami Digital Entertainment,0.15,0.04,0.0,0.01,0.19,49.0,16.0,4.6,Konami
Barbie Horse Adventures: Riding Camp,PS2,2008.0,Sports,Activision,0.09,0.07,0.0,0.02,0.19,,,,Pixel Tales
MLB 12: The Show,PSV,2012.0,Sports,Sony Computer Entertainment,0.17,0.0,0.0,0.02,0.19,76.0,15.0,7.8,SCEA San Diego Studios
God Eater Resurrection,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,8.8,"Shift, Bandai Namco Games"
SSX Tricky,GBA,2002.0,Sports,Electronic Arts,0.14,0.05,0.0,0.0,0.19,66.0,9.0,,Visual Impact
Kenka Banchou 4: Ichinen Sensou,PSP,2010.0,Action,Spike,0.0,0.0,0.19,0.0,0.19,,,,
Warhammer: Shadow of the Horned Rat,PS,1996.0,Strategy,Mindscape,0.11,0.07,0.0,0.01,0.19,,,,
NBA 2K11,PC,2010.0,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19,82.0,6.0,8.6,Visual Concepts
Pet Zombies,3DS,,Simulation,Majesco Entertainment,0.18,0.0,0.0,0.01,0.19,,,,1st Playable Productions
Pro Yakyuu Team o Tsukurou!,DS,2008.0,Sports,Sega,0.0,0.0,0.19,0.0,0.19,,,,
WWE All Stars,Wii,2011.0,Fighting,THQ,0.1,0.07,0.0,0.02,0.19,68.0,11.0,7.0,THQ
Naruto: Ninja Destiny,DS,2006.0,Fighting,Namco Bandai Games,0.02,0.01,0.16,0.0,0.19,61.0,22.0,4.4,Takara Tomy
FaceBreaker,X360,2008.0,Fighting,Electronic Arts,0.15,0.02,0.0,0.02,0.19,54.0,57.0,6.3,EA Canada
ESPN International Track & Field,PS2,2000.0,Sports,Konami Digital Entertainment,0.09,0.07,0.0,0.02,0.19,,,,
Spider-Man: Shattered Dimensions,DS,2010.0,Action,Activision,0.17,0.01,0.0,0.01,0.19,73.0,13.0,7.0,Griptonite Games
Lunar Legend,GBA,2002.0,Role-Playing,Media Rings,0.14,0.05,0.0,0.0,0.19,79.0,20.0,7.8,Magic Rings
Conflict: Global Terror,PS2,2005.0,Shooter,Eidos Interactive,0.09,0.07,0.0,0.02,0.19,62.0,15.0,8.5,Pivotal Games
Dante's Inferno,PSP,2010.0,Action,Electronic Arts,0.12,0.03,0.01,0.02,0.19,70.0,14.0,8.1,"Artificial Mind and Movement, EA Redwood Shores"
Mystery Tales of Time Travel,DS,2010.0,Puzzle,Foreign Media Games,0.01,0.15,0.0,0.02,0.19,,,,
Injustice: Gods Among Us,WiiU,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.09,0.08,0.0,0.02,0.19,82.0,5.0,7.9,NetherRealm Studios
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,PS2,2006.0,Misc,D3Publisher,0.0,0.0,0.19,0.0,0.19,,,,
NASCAR Unleashed,3DS,2011.0,Racing,Activision,0.18,0.0,0.0,0.01,0.19,,,,Firebrand Games
Tomb Raider: Underworld,DS,2008.0,Action,Eidos Interactive,0.15,0.02,0.0,0.01,0.19,70.0,9.0,8.4,Santa Cruz Games
Death Jr.,PSP,2005.0,Platform,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.19,61.0,40.0,7.3,Backbone Entertainment
Hulk,GC,2003.0,Action,Universal Interactive,0.15,0.04,0.0,0.01,0.19,71.0,26.0,7.4,Radical Entertainment
Boogie,PS2,2007.0,Misc,Electronic Arts,0.09,0.07,0.0,0.02,0.19,52.0,12.0,,"Pipeworks Software, Inc."
Arcade Shooting Gallery,Wii,2008.0,Shooter,Zoo Games,0.18,0.0,0.0,0.01,0.19,,,,Zoo Games
Phantasy Star Universe,PS2,2006.0,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,68.0,18.0,8.5,Sonic Team
Gungrave,PS2,2002.0,Shooter,Activision,0.09,0.07,0.0,0.02,0.19,65.0,28.0,8.6,Seta Corporation
Schlag den Raab,Wii,2010.0,Misc,Namco Bandai Games,0.0,0.16,0.0,0.02,0.19,,,,
Transworld Surf,PS2,2002.0,Sports,Atari,0.09,0.07,0.0,0.02,0.19,76.0,15.0,8.5,Rockstar San Diego
Tenchu: Fatal Shadows,PS2,2004.0,Action,Sega,0.09,0.07,0.0,0.02,0.19,58.0,33.0,8.0,K2 LLC
50 Cent: Blood on the Sand,PS3,2009.0,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,72.0,37.0,7.2,Swordfish Studios
Metro: Last Light,PC,2013.0,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19,82.0,71.0,8.6,4A Games
Evolve,PC,2015.0,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,77.0,39.0,4.3,Turtle Rock Studios
FIFA 14,PSP,2013.0,Sports,Electronic Arts,0.0,0.15,0.0,0.04,0.19,,,3.4,EA Canada
Resident Evil: Revelations,WiiU,2013.0,Action,Capcom,0.07,0.07,0.03,0.01,0.19,80.0,19.0,7.5,Capcom
Namco Museum Megamix,Wii,2010.0,Misc,Namco Bandai Games,0.17,0.0,0.0,0.01,0.19,53.0,12.0,,Namco Bandai Games
Chaotic: Shadow Warriors,Wii,2009.0,Action,Activision,0.18,0.0,0.0,0.01,0.19,,,,FUN Labs
The Legend of Spyro: A New Beginning,GC,2006.0,Platform,Vivendi Games,0.15,0.04,0.0,0.01,0.19,67.0,13.0,7.3,Krome Studios
International Soccer,2600,1981.0,Sports,Mattel Interactive,0.18,0.01,0.0,0.0,0.19,,,,
Princess Maker: Yumemiru Yosei,PS,1997.0,Strategy,Sony Computer Entertainment,0.0,0.0,0.18,0.01,0.19,,,,
3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,
Armored Core: For Answer,PS3,2008.0,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19,62.0,22.0,7.6,From Software
Big Air,PS,1999.0,Sports,Accolade,0.1,0.07,0.0,0.01,0.19,,,,
Shining Force II,GEN,1993.0,Strategy,Sega,0.0,0.0,0.19,0.0,0.19,,,,
Taiko no Tatsujin: Wii U Version!,WiiU,2013.0,Misc,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,
Gallop Racer,PS,1999.0,Sports,Tecmo Koei,0.0,0.0,0.18,0.01,0.19,,,,
The Walking Dead: Season Two,PS3,2014.0,Adventure,Telltale Games,0.09,0.06,0.0,0.03,0.19,,,,
Harry Potter and the Prisoner of Azkaban,XB,2004.0,Action,Electronic Arts,0.14,0.04,0.0,0.01,0.19,67.0,23.0,8.8,EA Games
3rd Super Robot Wars Z Jigoku Hen,PSV,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,
Where's Waldo? The Fantastic Journey,Wii,2009.0,Adventure,Ubisoft,0.17,0.0,0.0,0.01,0.19,,,,Classic Media Distribution Limited
Sudoku Gridmaster (JP sales),DS,2006.0,Puzzle,Nintendo,0.0,0.0,0.19,0.0,0.19,,,,
Monsters vs. Aliens,PS2,2009.0,Action,Activision,0.11,0.0,0.0,0.08,0.19,64.0,4.0,,Beenox
College Slam,PS,1995.0,Sports,Acclaim Entertainment,0.1,0.07,0.0,0.01,0.19,,,,
Street Fighter X Tekken,PSV,2012.0,Fighting,Capcom,0.1,0.04,0.01,0.03,0.19,79.0,25.0,7.5,Capcom
Nobunaga no Yabou: Souzou,PS3,2013.0,Strategy,Tecmo Koei,0.0,0.0,0.19,0.0,0.19,,,,
The Legend of Heroes: Trails of Cold Steel II,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.02,0.02,0.13,0.01,0.19,80.0,23.0,7.3,Falcom
Pro Yaky? Spirits 4,PS2,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,,,,
Rock Band Track Pack Volume 2,X360,2008.0,Misc,MTV Games,0.17,0.01,0.0,0.01,0.19,,,,Harmonix Music Systems
Need for Speed: Shift 2 Unleashed,PC,2011.0,Racing,Electronic Arts,0.05,0.11,0.0,0.03,0.19,,,,
Tamagotchi Party On!,Wii,2006.0,Misc,Namco Bandai Games,0.12,0.0,0.06,0.01,0.19,,,,
Daigasso! Band Brothers,DS,2004.0,Misc,Nintendo,0.0,0.0,0.19,0.0,0.19,,,,
Rise of the Kasai,PS2,2005.0,Action,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,68.0,37.0,8.0,BottleRocket Entertainment
Thoroughbred Breeder,SNES,1993.0,Simulation,Hect,0.0,0.0,0.19,0.0,0.19,,,,
Momotarou Dentetsu World,DS,2010.0,Misc,Hudson Soft,0.0,0.0,0.19,0.0,0.19,,,,
Singstar: Ultimate Party,PS4,2014.0,Misc,Sony Computer Entertainment Europe,0.0,0.16,0.0,0.03,0.19,47.0,19.0,4.1,SCEE
Beyblade: Metal Fusion - Battle Fortress,Wii,2009.0,Action,Konami Digital Entertainment,0.15,0.0,0.03,0.01,0.19,,,,
Risen,X360,2009.0,Role-Playing,Deep Silver,0.07,0.11,0.0,0.01,0.19,60.0,37.0,6.4,Piranha Bytes
Nostalgia,DS,2008.0,Role-Playing,Tecmo Koei,0.16,0.0,0.02,0.01,0.19,72.0,36.0,7.6,Matrix Software
Dynasty Warriors Gundam,X360,2007.0,Action,Namco Bandai Games,0.15,0.01,0.02,0.01,0.19,55.0,34.0,6.8,"Koei, Omega Force"
Jurassic: The Hunted,PS3,2009.0,Shooter,Activision,0.17,0.0,0.0,0.02,0.19,,,4.5,Activision
Farmtopia,DS,2010.0,Simulation,505 Games,0.18,0.0,0.0,0.01,0.19,,,,505 Games
DanceDanceRevolution,PS3,2010.0,Simulation,Konami Digital Entertainment,0.12,0.05,0.0,0.02,0.19,60.0,5.0,,Konami
Tom Clancy's Splinter Cell: Blacklist,PC,2013.0,Action,Ubisoft,0.04,0.13,0.0,0.01,0.19,82.0,13.0,7.4,Ubisoft Toronto
"Ni Hao, Kai-lan: Super Game Day",Wii,2009.0,Misc,Take-Two Interactive,0.17,0.0,0.0,0.01,0.19,,,8.5,Take-Two Interactive
One Piece: Unlimited Adventure,Wii,2007.0,Adventure,Namco Bandai Games,0.07,0.0,0.11,0.01,0.19,67.0,17.0,8.5,Ganbarion
Shaun White Skateboarding,PS3,2010.0,Sports,Ubisoft,0.11,0.05,0.0,0.03,0.19,61.0,26.0,6.5,Ubisoft Montreal
Crash & Spyro Superpack,GBA,2005.0,Platform,Vivendi Games,0.13,0.05,0.0,0.0,0.19,,,,
Reel Fishing Paradise 3D,3DS,2011.0,Sports,Marvelous Interactive,0.12,0.0,0.06,0.01,0.19,57.0,5.0,,Natsume
Conflict: Denied Ops,PS3,2008.0,Shooter,Eidos Interactive,0.05,0.1,0.0,0.03,0.19,51.0,28.0,3.1,Pivotal Games
Binary Domain,X360,2012.0,Action,Sega,0.09,0.06,0.02,0.02,0.19,74.0,43.0,8.0,Sega
Kuma-Tomo,3DS,2013.0,Misc,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,
IL-2 Sturmovik: Birds of Prey,PSP,2009.0,Simulation,505 Games,0.08,0.07,0.0,0.04,0.19,,,3.0,SME Dynamic Systems Limited
ThunderStrike 2,PS,1994.0,Simulation,Core Design Ltd.,0.1,0.07,0.0,0.01,0.19,,,,
Magical ZhuZhu Princess: Carriages & Castles,DS,2011.0,Simulation,Activision,0.13,0.04,0.0,0.01,0.19,,,,
Pro Yaky? Spirits 2012,PS3,2012.0,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,,,,
Super Real Mahjong P V,SAT,1995.0,Misc,Seta Corporation,0.0,0.0,0.19,0.0,0.19,,,,
Penguin no Mondai X: Tenkuu no 7 Senshi,DS,2009.0,Action,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,,,,
The Scorpion King: Sword of Osiris,GBA,2002.0,Action,Vivendi Games,0.13,0.05,0.0,0.0,0.19,72.0,14.0,,WayForward
Jeep Thrills,Wii,2008.0,Racing,Zoo Digital Publishing,0.17,0.0,0.0,0.01,0.19,,,5.7,Game Sauce
Ice Age: Dawn of the Dinosaurs,PS3,2009.0,Action,Activision,0.13,0.03,0.0,0.02,0.19,67.0,23.0,7.3,Activision
Bubsy 3D,PS,1996.0,Platform,Accolade,0.1,0.07,0.0,0.01,0.19,,,,
NCAA Final Four 2001,PS2,2000.0,Sports,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,49.0,10.0,,989 Sports
Robin Hood: Defender of the Crown,PS2,2003.0,Strategy,Capcom,0.09,0.07,0.0,0.02,0.19,59.0,18.0,5.6,Cinemaware
Face Training,DS,2007.0,Misc,Nintendo,0.0,0.0,0.19,0.0,0.19,,,,
Barbie Horse Adventures: Riding Camp,Wii,2008.0,Sports,Activision,0.17,0.0,0.0,0.01,0.19,,,,Activision
SD Gundam GX,SNES,1994.0,Strategy,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,
R-Type Final,PS2,2003.0,Shooter,Metro 3D,0.09,0.07,0.0,0.02,0.19,79.0,50.0,9.1,Irem
Jackie Chan Adventures: Legend of the Dark Hand,GBA,2001.0,Action,Activision,0.13,0.05,0.0,0.0,0.19,,,,
Bolt,PS3,2008.0,Adventure,Disney Interactive Studios,0.12,0.04,0.0,0.02,0.19,59.0,11.0,6.8,Avalanche Software
Mathews Bowhunting,Wii,2010.0,Sports,Zoo Games,0.18,0.0,0.0,0.01,0.19,,,,Zoo Games
Phantasy Star Nova,PSV,2014.0,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,,,,
Pro Evolution Soccer 2014,3DS,2013.0,Action,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,,,,Konami
Sega GT 2002,XB,2002.0,Racing,Sega,0.12,0.03,0.03,0.01,0.19,82.0,24.0,8.2,Wow Entertainment
F1 2011,PC,2011.0,Racing,Codemasters,0.0,0.15,0.0,0.04,0.19,83.0,10.0,7.2,Codemasters
Air Conflicts: Secret Wars,PS3,2011.0,Simulation,bitComposer Games,0.1,0.06,0.0,0.03,0.19,51.0,8.0,,Games Farm
Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,2005.0,Action,Activision,0.09,0.07,0.0,0.02,0.19,68.0,13.0,8.1,Krome Studios
Family Feud: 2012 Edition,Wii,2011.0,Misc,Ubisoft,0.17,0.0,0.0,0.01,0.19,,,,"Ubisoft, Ludia Inc."
Samurai Warriors 2: Empires,PS2,2006.0,Action,Tecmo Koei,0.0,0.0,0.19,0.0,0.19,55.0,20.0,7.3,Omega Force
Blood Omen 2,XB,2002.0,Action,Eidos Interactive,0.14,0.04,0.0,0.01,0.19,76.0,22.0,9.0,Crystal Dynamics
Earth Defense Force: Insect Armageddon,X360,2011.0,Shooter,D3Publisher,0.1,0.04,0.03,0.01,0.19,68.0,40.0,8.2,Vicious Cycle
Major League Baseball 2K10,PS3,2010.0,Sports,Take-Two Interactive,0.17,0.0,0.0,0.01,0.19,74.0,19.0,5.3,Visual Concepts
Saints Row IV,PC,2013.0,Action,Deep Silver,0.11,0.06,0.0,0.02,0.19,86.0,45.0,7.4,Volition Inc.
J-League Pro Soccer Club o Tsukurou! 5,PS2,2007.0,Sports,Sega,0.0,0.0,0.19,0.0,0.19,,,,
Harry Potter: Quidditch World Cup,XB,2003.0,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,69.0,14.0,7.5,Electronic Arts
Dance Central: Spotlight,XOne,2014.0,Misc,Microsoft Game Studios,0.15,0.03,0.0,0.0,0.19,74.0,19.0,7.0,Harmonix Music Systems
Little Battlers eXperience W,PSP,2012.0,Role-Playing,Level 5,0.0,0.0,0.19,0.0,0.19,,,,
Warriors: Legends of Troy,PS3,2011.0,Action,Tecmo Koei,0.06,0.04,0.07,0.02,0.19,44.0,22.0,7.0,Tecmo Koei Canada
La Pucelle: Tactics,PS2,2002.0,Role-Playing,Tecmo Koei,0.09,0.07,0.0,0.02,0.19,79.0,47.0,8.5,Nippon Ichi Software
Arcania: Gothic 4,PC,2010.0,Role-Playing,JoWood Productions,0.09,0.08,0.0,0.02,0.19,63.0,25.0,4.4,Spellbound
NBA Ballers: Chosen One,X360,2008.0,Sports,Midway Games,0.17,0.0,0.0,0.01,0.19,55.0,42.0,4.2,Midway
Tiger Woods PGA Tour 07,XB,2006.0,Sports,Electronic Arts,0.13,0.05,0.0,0.01,0.19,81.0,21.0,6.8,EA Redwood Shores
Disney's Meet the Robinsons,Wii,2007.0,Action,Disney Interactive Studios,0.17,0.0,0.0,0.01,0.19,62.0,11.0,6.3,Buena Vista Games
Sword Art Online: Hollow Realization,PS4,2016.0,Role-Playing,Namco Bandai Games,0.06,0.02,0.1,0.02,0.19,69.0,32.0,7.7,Bandai Namco Games
Star Wars: The Clone Wars & Tetris Worlds,XB,2002.0,Misc,Microsoft Game Studios,0.14,0.04,0.0,0.01,0.19,,,,
The Lord of the Rings: War in the North,PC,2011.0,Action,Warner Bros. Interactive Entertainment,0.05,0.11,0.0,0.03,0.19,66.0,21.0,7.1,Snowblind Studios
The Bee Game,DS,2007.0,Adventure,Midway Games,0.17,0.0,0.0,0.01,0.19,,,,Independent Arts
SBK X: Superbike World Championship,X360,2010.0,Racing,Black Bean Games,0.1,0.07,0.0,0.02,0.19,74.0,13.0,8.3,Milestone S.r.l
Rango: The Video Game,PS3,2011.0,Action,Electronic Arts,0.07,0.09,0.0,0.03,0.19,65.0,23.0,6.4,Behaviour Interactive
EverQuest Online Adventures: Frontiers,PS2,2003.0,Role-Playing,Sony Online Entertainment,0.09,0.07,0.0,0.02,0.19,77.0,16.0,8.5,Sony Online Entertainment
Godzilla (2015),PS4,2014.0,Action,Namco Bandai Games,0.11,0.03,0.02,0.03,0.19,,,,
Fairy Fencer F,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.05,0.03,0.09,0.02,0.19,65.0,31.0,7.4,Compile Heart
Shadows of the Damned,X360,2011.0,Action,Electronic Arts,0.1,0.06,0.01,0.02,0.19,76.0,76.0,8.4,Grasshopper Manufacture
Treasures of the Deep,PS,1997.0,Action,Namco Bandai Games,0.1,0.07,0.0,0.01,0.19,,,,
Phantasy Star Online Ver. 2,DC,2001.0,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,80.0,10.0,8.9,Sonic Team
Cabela's Survival: Shadows of Katmai,PS3,2011.0,Sports,Activision,0.11,0.05,0.0,0.02,0.18,,,7.4,Activision
Hot Wheels: Battle Force 5,Wii,2009.0,Racing,Activision,0.17,0.0,0.0,0.01,0.18,,,,Sidhe Interactive
Go Play: Lumberjacks,Wii,2009.0,Simulation,Majesco Entertainment,0.17,0.0,0.0,0.01,0.18,,,,Panic Button
Fight Club,PS2,2004.0,Fighting,Vivendi Games,0.09,0.07,0.0,0.02,0.18,36.0,28.0,4.4,Genuine Games
Samurai Warriors: State of War,PSP,2005.0,Action,Tecmo Koei,0.07,0.0,0.11,0.01,0.18,64.0,30.0,6.4,Omega Force
Cabela's Survival: Shadows of Katmai,X360,2011.0,Sports,Activision,0.14,0.03,0.0,0.01,0.18,,,3.5,Activision
